City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
621,Mocuba,MZ,85.91,clear sky,-16.8392,36.9856,Phama Lodge
628,Port Macquarie,AU,75.16,light rain,-31.4333,152.9167,Rydges Port Macquarie
630,Balikpapan,ID,85.19,few clouds,-1.2675,116.8289,ibis Balikpapan
636,Ballina,AU,89.78,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
637,Cam Ranh,VN,78.76,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
643,Caramoran,PH,76.24,overcast clouds,13.9849,124.1347,Miguilas Inn and Resto Bar
644,Kencong,ID,86.76,overcast clouds,-8.2833,113.3667,GUBUK SUGIANTO
648,Port Moresby,PG,87.22,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
665,Pangai,TO,82.51,light rain,-19.8,-174.35,Ha'apai Beach Resort
668,Cabinda,AO,77.86,light rain,-5.55,12.2,Hotel Maiombe
672,San Policarpo,PH,80.24,overcast clouds,12.1791,125.5072,Agapita M. Nicart
673,Isangel,VU,87.91,broken clouds,-19.55,169.2667,Tanna Lodge
678,Kyaukse,MM,80.6,few clouds,21.6,96.1333,Shwe Thit Sar Guesthouse
682,Black River,JM,78.8,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
687,Axim,GH,78.24,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
697,Acapulco,MX,77.16,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
703,Fomboni,KM,81.86,scattered clouds,-12.28,43.7425,Auberge les abou
708,Lakshmeshwar,IN,77.13,broken clouds,15.1333,75.4667,Prashanth Hotel Complex
709,San Pedro,PH,87.03,scattered clouds,14.35,121.0167,Villa Veronica Resort Private Pool
