City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
322,Beian,NO,63.6559,9.5683,28.49,54,40,34.52,light snow
323,Nipawin,CA,53.3668,-104.0009,5.04,85,1,8.05,clear sky
324,Chokurdakh,RU,70.6333,147.9167,-30.5,97,100,8.7,overcast clouds
325,Juli,PE,-16.2167,-69.45,45.03,74,98,2.51,light rain
326,Mbuji-Mayi,CD,-6.15,23.6,72.09,89,100,0.87,overcast clouds
327,Makakilo City,US,21.3469,-158.0858,68.68,65,20,17.27,few clouds
328,Dikson,RU,73.5069,80.5464,-22.0,97,68,10.2,broken clouds
329,Cambridge,CA,43.3601,-80.3127,33.19,85,90,2.3,overcast clouds
330,Santa Rosalia,MX,27.3167,-112.2833,65.1,45,34,3.15,scattered clouds
331,Sinnamary,GF,5.3833,-52.95,76.51,90,73,7.38,broken clouds
332,Paamiut,GL,61.994,-49.6678,37.54,74,100,45.45,overcast clouds
333,Ancud,CL,-41.8697,-73.8203,47.73,87,0,3.04,clear sky
334,Podujevo,XK,42.9106,21.1931,34.02,90,97,3.38,overcast clouds
335,Tocopilla,CL,-22.092,-70.1979,65.91,70,7,4.36,clear sky
336,Pangobilian,PH,8.8011,117.8594,82.58,80,50,10.8,scattered clouds
337,Bitung,ID,1.4451,125.1824,86.85,74,100,1.45,overcast clouds
338,Mineiros,BR,-17.5694,-52.5511,71.62,81,74,2.93,broken clouds
339,Lorengau,PG,-2.0226,147.2712,83.25,81,73,10.69,broken clouds
340,Bonfim,BR,3.0833,-59.95,77.83,71,92,5.61,overcast clouds
341,Bengkulu,ID,-3.8004,102.2655,83.28,71,100,7.36,light rain
342,Itatskiy,RU,56.07,89.0369,25.84,87,97,18.9,overcast clouds
343,Talnakh,RU,69.4865,88.3972,-27.8,97,87,12.28,overcast clouds
344,Jiwani,PK,25.05,61.7417,76.1,58,13,2.46,few clouds
345,Labuhan,ID,-6.8844,112.2051,84.13,74,98,10.6,overcast clouds
